	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_12	0.597**		0.597**	0.597**	
	(0.282)		(0.282)	(0.282)	
time24_13	0.414	-0.0758	0.414	0.414	-0.0758
	(0.266)	(0.247)	(0.266)	(0.266)	(0.247)
time24_14	0.446	0.0621	0.446	0.446	0.0621
	(0.288)	(0.266)	(0.288)	(0.288)	(0.266)
time24_15	0.319	0.0422	0.319	0.319	0.0422
	(0.266)	(0.250)	(0.266)	(0.266)	(0.250)
time24_16	0.439	0.268	0.439	0.439	0.268
	(0.281)	(0.259)	(0.281)	(0.281)	(0.259)
time24_18	-0.267	-0.224	-0.267	-0.267	-0.224
	(0.235)	(0.230)	(0.235)	(0.235)	(0.230)
time24_19	0.292	0.441*	0.292	0.292	0.441*
	(0.276)	(0.257)	(0.276)	(0.276)	(0.257)
time24_20	-0.669**	-0.413*	-0.669**	-0.669**	-0.413*
	(0.276)	(0.251)	(0.276)	(0.276)	(0.251)
time24_21	-0.651**	-0.289	-0.651**	-0.651**	-0.289
	(0.279)	(0.244)	(0.279)	(0.279)	(0.244)
time24_22	-0.816***	-0.347	-0.816***	-0.816***	-0.347
	(0.275)	(0.244)	(0.275)	(0.275)	(0.244)
time24_23	-0.948***	-0.372	-0.948***	-0.948***	-0.372
	(0.291)	(0.256)	(0.291)	(0.291)	(0.256)
time24_25	-0.551*	0.237	-0.551*	-0.551*	0.237
	(0.303)	(0.244)	(0.303)	(0.303)	(0.244)
time24_26	-0.913***	-0.0173	-0.913***	-0.913***	-0.0173
	(0.315)	(0.241)	(0.315)	(0.315)	(0.241)
time24_27	-1.543***	-0.541**	-1.543***	-1.543***	-0.541**
	(0.322)	(0.241)	(0.322)	(0.322)	(0.241)
time24_28	-1.237***	-0.129	-1.237***	-1.237***	-0.129
	(0.336)	(0.248)	(0.336)	(0.336)	(0.248)
time24_29	-1.458***	-0.243	-1.458***	-1.458***	-0.243
	(0.340)	(0.246)	(0.340)	(0.340)	(0.246)
time24_30	-1.371***	-0.0498	-1.371***	-1.371***	-0.0498
	(0.348)	(0.243)	(0.348)	(0.348)	(0.243)
time24_31	-1.460***	-0.0316	-1.460***	-1.460***	-0.0316
	(0.357)	(0.236)	(0.357)	(0.357)	(0.236)
time24_32	-1.606***	-0.0712	-1.606***	-1.606***	-0.0712
	(0.332)	(0.246)	(0.332)	(0.332)	(0.246)
time24_33	-1.883***	-0.242	-1.883***	-1.883***	-0.242
	(0.384)	(0.251)	(0.384)	(0.384)	(0.251)
time24_34	-1.796***	-0.0481	-1.796***	-1.796***	-0.0481
	(0.401)	(0.255)	(0.401)	(0.401)	(0.255)
time24_35	-1.547***	0.307	-1.547***	-1.547***	0.307
	(0.408)	(0.253)	(0.408)	(0.408)	(0.253)
time24_36	-1.961***		-1.961***	-1.961***	
	(0.374)		(0.374)	(0.374)	
time24_17		-0.0637			-0.0637
		(0.259)			(0.259)
months_from_start		-0.107***			-0.107***
		(0.0162)			(0.0162)
Constant	9.746***	37.93***	9.746***	9.746***	37.93***
	(0.349)	(4.243)	(0.349)	(0.349)	(4.243)
					
Observations	44,468	44,468	44,468	44,468	44,468
R-squared	0.014	0.014	0.014	0.014	0.014
Number of id_numeric	6,087	6,087	6,087	6,087	6,087
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
