	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	0.680***		0.680***	0.680***	
	(0.152)		(0.152)	(0.152)	
time12_1	0.446***	-0.174	0.446***	0.446***	-0.174
	(0.153)	(0.137)	(0.153)	(0.153)	(0.137)
time12_2	0.570***	0.0112	0.570***	0.570***	0.0112
	(0.159)	(0.145)	(0.159)	(0.159)	(0.145)
time12_3	0.365**	-0.134	0.365**	0.365**	-0.134
	(0.147)	(0.133)	(0.147)	(0.147)	(0.133)
time12_4	0.402***	-0.0359	0.402***	0.402***	-0.0359
	(0.150)	(0.137)	(0.150)	(0.150)	(0.137)
time12_5	0.549***	0.171	0.549***	0.549***	0.171
	(0.146)	(0.137)	(0.146)	(0.146)	(0.137)
time12_6	0.00272	-0.315**	0.00272	0.00272	-0.315**
	(0.137)	(0.125)	(0.137)	(0.137)	(0.125)
time12_7	0.401***	0.144	0.401***	0.401***	0.144
	(0.141)	(0.132)	(0.141)	(0.141)	(0.132)
time12_8	0.0804	-0.116	0.0804	0.0804	-0.116
	(0.142)	(0.133)	(0.142)	(0.142)	(0.133)
time12_10	-0.221*	-0.297**	-0.221*	-0.221*	-0.297**
	(0.134)	(0.127)	(0.134)	(0.134)	(0.127)
time12_11	-0.302**	-0.318**	-0.302**	-0.302**	-0.318**
	(0.139)	(0.127)	(0.139)	(0.139)	(0.127)
time12_13	-0.122	-0.0169	-0.122	-0.122	-0.0169
	(0.142)	(0.127)	(0.142)	(0.142)	(0.127)
time12_14	-0.319**	-0.153	-0.319**	-0.319**	-0.153
	(0.144)	(0.128)	(0.144)	(0.144)	(0.128)
time12_15	-0.462***	-0.236*	-0.462***	-0.462***	-0.236*
	(0.146)	(0.129)	(0.146)	(0.146)	(0.129)
time12_16	-0.287*	-0.000491	-0.287*	-0.287*	-0.000491
	(0.156)	(0.133)	(0.156)	(0.156)	(0.133)
time12_17	-0.449***	-0.102	-0.449***	-0.449***	-0.102
	(0.160)	(0.137)	(0.160)	(0.160)	(0.137)
time12_18	-0.356**	0.0518	-0.356**	-0.356**	0.0518
	(0.166)	(0.141)	(0.166)	(0.166)	(0.141)
time12_19	-0.467***	0.00109	-0.467***	-0.467***	0.00109
	(0.168)	(0.138)	(0.168)	(0.168)	(0.138)
time12_20	-0.748***	-0.220	-0.748***	-0.748***	-0.220
	(0.154)	(0.137)	(0.154)	(0.154)	(0.137)
time12_21	-0.881***	-0.292**	-0.881***	-0.881***	-0.292**
	(0.174)	(0.139)	(0.174)	(0.174)	(0.139)
time12_22	-0.807***	-0.158	-0.807***	-0.807***	-0.158
	(0.183)	(0.143)	(0.183)	(0.183)	(0.143)
time12_23	-0.709***		-0.709***	-0.709***	
	(0.187)		(0.187)	(0.187)	
time12_24	-0.875***	-0.105	-0.875***	-0.875***	-0.105
	(0.182)	(0.145)	(0.182)	(0.182)	(0.145)
time12_9		-0.136			-0.136
		(0.127)			(0.127)
months_from_start		-0.0604***			-0.0604***
		(0.00969)			(0.00969)
Constant	8.880***	25.64***	8.880***	8.880***	25.64***
	(0.228)	(2.540)	(0.228)	(0.228)	(2.540)
					
Observations	122,721	122,721	122,721	122,721	122,721
R-squared	0.011	0.011	0.011	0.011	0.011
Number of id_numeric	15,974	15,974	15,974	15,974	15,974
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
